pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,ra,dec
AU Mic b,AU Mic,1,2,Transit,2020,9.7221000,8.46299910,0.064500,,20.12000,0.186000,,,,,,0.50,311.2911369,-31.3424500
AU Mic c,AU Mic,1,2,Transit,2021,9.7221000,18.85899100,0.110100,,9.60000,,,,,,,0.50,311.2911369,-31.3424500
DS Tuc A b,DS Tuc A,2,1,Transit,2019,44.0622000,8.13826800,,5.700,,0.000000,,850,G6 V,5428.00,0.96,1.01,354.9154673,-69.1960430
GJ 1252 b,GJ 1252,1,1,Transit,2020,20.3730000,0.51824160,0.009150,1.180,1.32000,,233.00,,,3458.00,0.39,0.38,306.9286462,-56.4622865
GJ 143 b,GJ 143,1,2,Transit,2019,16.3200000,35.61253000,0.191500,2.610,22.70000,0.188000,,422,K4.5,4640.00,0.69,0.73,51.7501882,-63.5001660
GJ 3090 b,GJ 3090,1,1,Transit,2022,22.4751000,2.85313600,0.031650,2.130,3.34000,0.320000,,693,M2 V,3556.00,0.52,0.52,20.4384281,-46.7147234
GJ 3473 b,GJ 3473,2,2,Transit,2020,27.3644000,1.19800350,0.015890,1.264,1.86000,0.000000,59.40,773,,3347.00,0.36,0.36,120.5936065,3.3371629
GJ 357 b,GJ 357,1,3,Transit,2019,9.4418100,3.93072000,0.035000,1.217,1.84000,,12.60,525,M2.5 V,3505.00,0.34,0.34,144.0074644,-21.6650634
GJ 367 b,GJ 367,1,1,Transit,2021,9.4126300,0.32196200,0.007100,0.718,0.54600,0.000000,,1745,M1.0 V,3522.00,0.46,0.45,146.1214640,-45.7790165
GJ 3929 b,GJ 3929,1,2,Transit,2022,15.8095000,2.61623500,0.025200,1.090,1.75000,0.000000,17.30,568,,3384.00,0.32,0.31,239.5775678,35.4081141
HD 108236 b,HD 108236,1,5,Transit,2020,64.5978000,3.79596300,0.045270,1.615,,0.045000,,,,5660.00,0.88,0.87,186.5740627,-51.3630519
HD 108236 c,HD 108236,1,5,Transit,2020,64.5978000,6.20344900,0.062000,2.071,,0.034000,,,,5660.00,0.88,0.87,186.5740627,-51.3630519
HD 108236 d,HD 108236,1,5,Transit,2020,64.5978000,14.17568500,0.107400,2.539,,0.055000,,,,5660.00,0.88,0.87,186.5740627,-51.3630519
HD 108236 e,HD 108236,1,5,Transit,2020,64.5978000,19.59002500,0.136700,3.083,,0.058000,,,,5660.00,0.88,0.87,186.5740627,-51.3630519
HD 109833 b,HD 109833,1,2,Transit,2022,79.5561000,9.18852600,,2.888,,0.180000,,,,5881.00,1.00,1.08,189.7758591,-74.5740205
HD 109833 c,HD 109833,1,2,Transit,2022,79.5561000,13.90014800,,2.590,,0.300000,,,,5881.00,1.00,1.08,189.7758591,-74.5740205
HD 110082 b,HD 110082,2,1,Transit,2021,105.0960000,10.18271000,0.113000,3.200,,0.200000,,,F8 V,6200.00,1.19,1.21,192.5892855,-88.1211107
HD 110113 b,HD 110113,1,2,Transit,2021,106.3070000,2.54100000,0.035000,2.050,4.55000,0.093000,735.49,1371,G,5732.00,0.97,1.00,190.0365636,-44.3120777
HD 1397 b,HD 1397,1,1,Transit,2018,79.5702000,11.53533000,0.109700,11.500,131.89945,0.251000,356.00,1228,,5521.00,2.34,1.32,4.4471631,-66.3589285
HD 152843 b,HD 152843,1,2,Transit,2021,107.8980000,11.62640000,0.105300,3.410,11.56000,0.140000,255.70,,G0,6310.00,1.43,1.15,253.7848853,20.4915240
HD 152843 c,HD 152843,1,2,Transit,2021,107.8980000,24.38000000,,5.830,27.50000,0.115000,,,G0,6310.00,1.43,1.15,253.7848853,20.4915240
HD 15337 b,HD 15337,1,2,Transit,2019,44.8155000,4.75615000,0.052200,1.640,7.51000,0.090000,,1001,K1 V,5125.00,0.86,0.90,36.8678846,-27.6361171
HD 15337 c,HD 15337,1,2,Transit,2019,44.8155000,17.17840000,0.126800,2.390,8.11000,0.050000,,642,K1 V,5125.00,0.86,0.90,36.8678846,-27.6361171
HD 183579 b,HD 183579,1,1,Transit,2021,57.2651000,17.47127800,0.133400,3.550,19.70000,0.280000,58.10,769,,5788.00,0.98,1.03,293.2866147,-54.5327284
HD 18599 b,HD 18599,2,1,Transit,2022,38.5653000,4.13743540,0.048000,2.600,24.10000,0.340000,,,K2 V,5145.00,0.77,0.86,44.2620144,-56.1918694
HD 191939 b,HD 191939,1,6,Transit,2020,53.6089000,8.88032560,0.080400,3.410,10.00000,0.031000,100.00,880,G9 V,5348.00,0.94,0.81,302.0256247,66.8503014
HD 191939 c,HD 191939,1,6,Transit,2020,53.6089000,28.57974300,0.175200,3.195,8.00000,0.034000,21.00,600,G9 V,5348.00,0.94,0.81,302.0256247,66.8503014
HD 191939 d,HD 191939,1,6,Transit,2020,53.6089000,38.35303700,0.213200,2.995,2.80000,0.031000,14.30,540,G9 V,5348.00,0.94,0.81,302.0256247,66.8503014
HD 191939 g,HD 191939,1,6,Transit,2022,53.6089000,284.00000000,0.812000,,,0.030000,0.99,278,G9 V,5348.00,0.94,0.81,302.0256247,66.8503014
HD 202772 A b,HD 202772 A,2,1,Transit,2019,161.4980000,3.30895800,0.052080,17.318,323.23311,0.038000,3440.00,2132,,6272.00,2.59,1.72,319.6995877,-26.6163743
HD 20329 b,HD 20329,1,1,Transit,2022,63.6796000,0.92611800,0.018000,1.720,7.42000,0.000000,3474.00,2141,,5596.00,1.13,0.90,49.1781240,15.6563542
HD 207897 b,HD 207897,1,1,Transit,2021,28.2938000,16.20215900,0.116300,2.501,14.40000,0.047000,26.50,632,K0 V,5070.00,0.78,0.80,325.2016451,84.3337613
HD 213885 b,HD 213885,1,2,Transit,2019,48.0883000,1.00803500,0.020120,1.745,8.83000,0.000000,,2128,G,5978.00,1.10,1.07,338.9837166,-59.8648290
HD 21749 c,GJ 143,1,2,Transit,2019,16.3200000,7.78993000,0.069500,0.892,3.70000,,,701,K4.5,4640.00,0.69,0.73,51.7501882,-63.5001660
HD 219666 b,HD 219666,1,1,Transit,2018,94.1719000,6.03607000,0.063560,4.710,16.60000,0.000000,,1073,,5527.00,1.03,0.92,349.5592665,-56.9039857
